Comment,Designator,Footprint,LCSC
100NF,C8,C_0402_1005Metric,
100NF,C14,C_0402_1005Metric,
XL1509-3.3,U12,Diodes_PSOP-8,
"PESD2CAN,215",D7,SOT95P230X110-3N,
10K,R23,R_0402_1005Metric,
10K,R24,R_0402_1005Metric,
442K,R5,R_0402_1005Metric,
19.1K,R26,R_0402_1005Metric,
4.64K,R4,R_0603_1608Metric,
10.2K,R11,R_0402_1005Metric,
2.2uF,C7,C_0805_2012Metric,
1K,R2,R_0402_1005Metric,
TPS54560BDDA,U5,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,
100NF,C25,C_0402_1005Metric,
10K,R16,R_0402_1005Metric,
100NF,C28,C_0402_1005Metric,
TJA1042TK-3,U9,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,
PDTC114EU,Q3,SOT-323_SC-70,
U.FL-R-SMT-1,ANT1,U.FL-R-SMT-1,
75R,R19,R_0402_1005Metric,
10pF,C23,C_0402_1005Metric,
243k,R7,R_0402_1005Metric,
2.2uF,C12,C_0805_2012Metric,
100NF,C27,C_0402_1005Metric,
100NF,C11,C_0402_1005Metric,
TJA1042TK-3,U8,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,
47uF,C20,C_0805_2012Metric,
100NF,C29,C_0402_1005Metric,
USB-C-USB-3.2-rescue_USB_C_Plug-Connector,P1,TYPE-C-31-M-04,
47uF,C3,C_0805_2012Metric,
10pF,C24,C_0402_1005Metric,
15R,R18,R_0402_1005Metric,
7.2uH,L2,L_Wuerth_WE-PDF,
47uF,C21,C_0805_2012Metric,
100NF,C30,C_0402_1005Metric,
"PESD2CAN,215",D9,SOT95P230X110-3N,
Conn_01x04_Female,J1,PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,
DDTA143ECA-7-F P08,Q1,SOT23-3,
SiP32431DR3,U2,SOT-363_SC-70-6,
100NF,C32,C_0402_1005Metric,
47uF,C19,C_0805_2012Metric,
"PESD2CAN,215",D5,SOT95P230X110-3N,
470NH,L1,L_0603_1608Metric,
15R,R17,R_0402_1005Metric,
2.2uF,C6,C_0805_2012Metric,
"PESD2CAN,215",D6,SOT95P230X110-3N,
TPS2549IRTETQ1,U6,WQFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,
DDTA143ECA-7-F P08,Q2,SOT23-3,
TJ-S3528UG2W9TLCCYRGB-A5,D4,TOGIALED-TJ-S3528UG2W9TLCCYRGB,
47pF,C13,C_0603_1608Metric,
22R,R21,R_0402_1005Metric,
10K,R27,R_0402_1005Metric,
100NF,C15,C_0402_1005Metric,
USB_A TE Connectivity 292303-7 ,J2,USB_A_TE_292303-7_Horizontal,
100nF,C9,C_0603_1608Metric,
"PESD2CAN,215",D8,SOT95P230X110-3N,
4.7nF,C10,C_0402_1005Metric,
STM32F413RGTx,U7,LQFP-64_10x10mm_P0.5mm,
100NF,C1,C_0402_1005Metric,
NEO-M8M,U4,ublox_NEO,
100NF,C31,C_0402_1005Metric,
16.9K,R8,R_0402_1005Metric,
BAS40WS 43 ,D2,D_SOD-323,
TJA1042TK-3,U10,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,
47uF,C18,C_0805_2012Metric,
47uF,C16,C_0805_2012Metric,
10K,R13,R_0402_1005Metric,
TJA1042TK-3,U11,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,
10K,R15,R_0402_1005Metric,
1K,R1,R_0402_1005Metric,
10K,R22,R_0402_1005Metric,
22R,R20,R_0402_1005Metric,
100NF,C2,C_0402_1005Metric,
48.7K,R12,R_0603_1608Metric,
100NF,C5,C_0402_1005Metric,
100NF,C26,C_0402_1005Metric,
2.2uF,C4,C_0805_2012Metric,
100NF,C33,C_0402_1005Metric,
10R,R10,R_0402_1005Metric,
10K,R14,R_0402_1005Metric,
10K,R3,R_0402_1005Metric,
90.9R,R6,R_0402_1005Metric,
SIS427EDN-T1-GE3,U1,SIS427EDN-T1-GE3,
X322516MLB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
B320AE-13,D11,D_SMA,
BAS70H 115,D10,D_SOD-123F,
100NF,C22,C_0402_1005Metric,
47uH 2A - SMMS0650-470M,L3,L_6.6x7.0_H4.8,
SW_Push,SW1,SW_SPST_SKQG_WithStem,
B560C-13-F,D3,D_SMC,
SMAJ16CA-13-F,D1,DIOM4325X250N,
